Binary,Nodes,Final Accuracy,Total Duration,Mean Iteration Time
mnist-1x,1,0.862100,24.225860,0.242259
mnist-1x,2,0.861900,13.092573,0.130926
mnist-1x,3,0.861700,8.955691,0.089557
mnist-1x,4,0.861800,6.633395,0.066334
mnist-2x,1,0.876600,85.058929,0.850589
mnist-2x,2,0.876600,45.716648,0.457166
mnist-2x,3,0.876600,31.879549,0.318795
mnist-2x,4,0.876600,24.665468,0.246655
mnist-4x,1,0.855000,323.184184,3.231842
mnist-4x,2,0.898300,179.848489,1.798485
mnist-4x,3,0.901200,126.159632,1.261596
mnist-4x,4,0.892000,88.578492,0.885785
